Term,Frequency,PostingList
aa,4,"{'16': [9579], '2': [5351], '22': [1621], '9': [2186]}"
aaa,1,{'25': [3571]}
aaaaaabbbbbbbccccccddd,1,{'23': [1704]}
aaai,11,"{'1': [8295, 8399, 8403, 8422, 9036, 9227, 9232, 9439, 9443, 9448], '13': [4566], '14': [4566], '2': [5307], '21': [5033, 5475, 5811, 5914], '22': [10456, 10515, 10799, 11121, 11174, 11450, 11456, 11516, 11929, 12173, 12193, 12275, 12363], '24': [2873, 2878, 2911, 2994, 3003], '26': [6556], '3': [2609], '7': [19659, 20531, 20888, 23142], '8': [4522]}"
aaaiacm,1,"{'7': [21544, 25638]}"
aaaisymposium,1,{'1': [8412]}
aai,1,{'7': [22870]}
aalc,1,{'16': [1945]}
aamodt,1,{'7': [24410]}
aan,2,"{'23': [1900], '25': [3377]}"
aand,1,{'24': [1062]}
aandbl,1,"{'16': [1961, 3442]}"
aandm,1,{'26': [2008]}
aapokyrola,1,{'17': [5692]}
aar,1,"{'16': [1962, 3443]}"
aasa,1,"{'22': [1624, 1626, 1628]}"
ab,7,"{'1': [7577, 7606, 7683, 8154, 8331, 8478, 8558, 8994, 9133, 9198, 9568], '16': [2902], '17': [5748, 5750, 5771, 5807, 6020, 6035], '18': [3029, 3374, 3439, 3481], '26': [1652], '3': [2533], '8': [3275, 4095, 4326]}"
abadi,1,{'16': [6537]}
abas,1,{'2': [61]}
abat,1,{'9': [381]}
abbasiasl,1,{'7': [20107]}
abbeel,1,{'7': [24737]}
abbrevi,1,{'16': [9607]}
abbreviatedt,1,{'17': [187]}
abdeljalilelouardighi,1,{'22': [10604]}
abdelnass,1,{'16': [7340]}
abdelrahman,1,{'18': [2955]}
abderrazak,2,"{'16': [12], '21': [5345]}"
abdi,1,{'21': [5247]}
abduct,1,{'1': [1098]}
abdullayeva,1,{'16': [9263]}
abecaus,1,{'26': [6412]}
abedi,1,{'8': [3569]}
abeel,2,"{'22': [5381, 11602], '26': [6481, 6522]}"
abeelet,1,{'22': [5403]}
abernoulli,1,{'22': [4907]}
abid,1,{'8': [4514]}
abil,13,"{'1': [5463, 5563, 6239, 9270], '12': [2884, 5928, 10705, 12087], '13': [86, 3084], '14': [86, 3084], '16': [4719], '2': [356, 771, 1155, 1156], '21': [76, 270, 1564, 1987, 2083, 2808, 3991], '22': [1006, 1032, 1047, 1701, 3434], '25': [304, 331, 646, 2577], '26': [3297, 3947], '7': [1629, 1705, 3218, 3265, 3581, 3605, 3628, 3657, 3960, 4072, 4088, 4147, 5610, 6189, 9258, 9592, 12659, 13220, 13319, 14087, 16220, 16226, 16729, 18506], '8': [771, 2695], '9': [515]}"
abilist,1,{'25': [3569]}
abilityoflargedatabas,1,{'2': [294]}
abilitytest,2,"{'13': [3101], '14': [3101]}"
