Term,DocID,Positions
overview,1,"[0, 562, 611, 631, 665, 4016, 6029, 7081, 7173]"
overview,12,"[360, 4062, 5920]"
overview,15,"[861, 929, 3167, 3286]"
overview,16,"[591, 630, 768, 4446, 4925, 5847, 6090]"
overview,17,[5676]
overview,2,"[2121, 3408, 5406]"
overview,22,[55]
overview,7,"[181, 926, 1013, 1322, 2456, 5834, 12079, 12838, 15053, 15525, 17085, 19212, 19462, 19634, 19809, 24446, 25933]"
histor,1,"[1, 136, 545, 6028, 7080, 7172, 9622]"
histor,12,"[415, 6005]"
histor,13,[1907]
histor,14,[1907]
histor,15,"[2139, 2253, 2262, 2321, 2352, 2380, 2391, 3391, 3444, 3902, 4132, 4140, 4204, 4435, 4455, 4493, 4738]"
histor,16,"[1399, 1476]"
histor,2,[388]
histor,21,[2730]
histor,3,[737]
histor,7,[8831]
perspect,1,"[2, 137, 546, 566, 674, 719, 6491, 7091, 7778, 8128, 9623]"
perspect,12,"[3044, 10866]"
perspect,17,[5907]
perspect,21,"[117, 119, 138, 449, 847, 938, 956, 978, 1009, 5567]"
perspect,22,"[2, 76, 169, 572, 592, 1126, 1199, 1337, 1549, 1743, 2206, 2726, 3284, 3820, 3830, 4329, 4928, 5520, 6071, 6599, 7073, 7637, 8067, 8709, 9250, 9722, 10141, 10272, 10727, 11477, 12220]"
perspect,26,[1877]
perspect,3,[2072]
perspect,7,"[1354, 2821, 7413, 11436, 15379, 15822, 17094, 18407, 19278, 19753, 19972, 20468, 24579, 24848, 25768, 25820]"
perspect,9,"[1003, 1100, 1111, 1151]"
explain,1,"[3, 48, 78, 107, 138, 144, 171, 182, 188, 190, 200, 358, 540, 616, 668, 725, 735, 742, 747, 831, 897, 923, 952, 1078, 2474, 2514, 2674, 2755, 2777, 2803, 3105, 3283, 3482, 3731, 3976, 3992, 4019, 4038, 4078, 4155, 4182, 4200, 4324, 4629, 4663, 4965, 5003, 5287, 5348, 5509, 6292, 6394, 6427, 6435, 6485, 6521, 6577, 6735, 6796, 7077, 7168, 7214, 7562, 7571, 7615, 7691, 7712, 7754, 7930, 7971, 8062, 8122, 8183, 8384, 8504, 8553, 8595, 8954, 8991, 9206, 9240, 9280, 9299, 9373, 9518, 9624]"
explain,17,"[3753, 4149, 4681]"
explain,2,"[4, 134, 159, 164, 251, 254, 351, 373, 445, 455, 539, 584, 615, 644, 772, 1087, 1211, 1218, 1273, 1309, 1324, 1364, 1377, 1429, 1462, 1504, 1964, 2012, 2034, 2049, 2098, 2129, 2229, 2317, 2339, 2453, 2477, 2546, 2559, 2577, 2618, 2666, 2719, 2760, 2815, 2930, 3046, 3080, 3132, 3204, 3371, 3398, 3895, 4096, 4104, 4150, 4177, 4227, 4337, 4340, 4397, 4400, 4504, 4737, 4823, 4826, 4913, 4954, 5083, 5378, 5381, 5392, 5407, 5410, 5427, 5540, 5543, 5644, 5646, 5710, 5772, 6044, 6048, 6058, 6133, 6137]"
explain,21,[1992]
explain,22,[4812]
explain,26,[396]
explain,3,"[14, 177, 218, 245, 261, 295, 303, 309, 313, 338, 345, 352, 365, 381, 399, 427, 465, 487, 540, 554, 556, 575, 622, 655, 697, 757, 763, 772, 779, 789, 796, 838, 853, 1063, 1139, 1143, 1298, 1377, 1383, 1404, 1419, 1487, 1669, 1918, 1991, 2092, 2100, 2141, 2161, 2185, 2228, 2249, 2266, 2340, 2377, 2481, 2555, 2581, 2593]"
